<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20250106,0400,2640.05,2640.61,2634.18,2635.30,1983070
XAUUSD,20250106,0500,2635.28,2636.07,2631.51,2633.78,2261630
XAUUSD,20250106,0600,2633.76,2635.15,2630.03,2631.38,2332630
XAUUSD,20250106,0700,2631.34,2633.61,2625.03,2626.70,3012990
XAUUSD,20250106,0800,2626.70,2632.43,2625.57,2631.39,3039200
XAUUSD,20250106,0900,2631.30,2635.53,2631.03,2632.59,2137660
XAUUSD,20250106,1000,2632.59,2634.88,2630.78,2633.59,1366450
XAUUSD,20250106,1100,2633.59,2649.30,2632.34,2645.43,4967440
XAUUSD,20250106,1200,2645.43,2647.67,2641.84,2645.20,3623610
XAUUSD,20250106,1300,2645.07,2648.67,2621.66,2624.05,6524030
XAUUSD,20250106,1400,2624.05,2634.88,2614.36,2631.30,6134520
XAUUSD,20250106,1500,2631.30,2639.53,2629.34,2634.20,5762770
XAUUSD,20250106,1600,2634.28,2641.15,2632.39,2640.60,4215580
XAUUSD,20250106,1700,2640.66,2640.90,2634.11,2636.59,3122500
XAUUSD,20250106,1800,2636.63,2638.49,2633.64,2634.47,5149780
XAUUSD,20250106,1900,2634.51,2635.32,2632.78,2634.17,4119230
XAUUSD,20250106,2000,2634.16,2635.28,2632.99,2634.49,3682630
XAUUSD,20250106,2100,2634.44,2636.93,2634.44,2635.99,519510
XAUUSD,20250106,2300,2635.62,2635.97,2633.39,2634.47,443190
XAUUSD,20250107,0000,2634.55,2635.05,2632.78,2634.89,727110
XAUUSD,20250107,0100,2634.88,2641.11,2634.70,2638.86,2473150
XAUUSD,20250107,0200,2638.84,2640.05,2636.72,2638.50,1395150
XAUUSD,20250107,0300,2638.50,2640.13,2637.36,2639.38,942810
XAUUSD,20250107,0400,2639.38,2639.70,2637.14,2638.05,1143330
XAUUSD,20250107,0500,2638.05,2645.66,2636.86,2644.41,1954140
XAUUSD,20250107,0600,2644.41,2646.51,2639.65,2640.16,2500660
XAUUSD,20250107,0700,2640.15,2642.00,2637.95,2640.35,2257860
XAUUSD,20250107,0800,2640.35,2644.63,2639.89,2642.49,2634320
XAUUSD,20250107,0900,2642.43,2644.03,2640.03,2641.18,2663080
XAUUSD,20250107,1000,2641.16,2644.57,2641.15,2643.72,2536980
XAUUSD,20250107,1100,2643.72,2648.48,2641.89,2648.26,2651000
XAUUSD,20250107,1200,2648.20,2652.57,2647.23,2651.39,2665030
XAUUSD,20250107,1300,2651.38,2664.10,2649.84,2662.29,5084210
XAUUSD,20250107,1400,2662.30,2662.90,2655.56,2658.41,5861120
XAUUSD,20250107,1500,2658.39,2658.39,2642.03,2647.59,7859160
XAUUSD,20250107,1600,2647.55,2655.45,2646.22,2651.61,3697680
XAUUSD,20250107,1700,2651.59,2655.85,2650.11,2652.39,2331240
XAUUSD,20250107,1800,2652.34,2652.49,2647.20,2649.03,1970200
XAUUSD,20250107,1900,2649.05,2650.24,2646.81,2649.05,1870230
XAUUSD,20250107,2000,2649.05,2651.28,2646.97,2650.20,3097810
XAUUSD,20250107,2100,2650.18,2650.30,2647.51,2648.18,398990
XAUUSD,20250107,2300,2647.97,2650.05,2647.72,2649.55,464870
XAUUSD,20250108,0000,2649.47,2651.38,2648.43,2650.43,1154340
XAUUSD,20250108,0100,2650.45,2650.76,2646.97,2648.61,3728160
XAUUSD,20250108,0200,2648.55,2650.16,2645.80,2648.70,2225220
XAUUSD,20250108,0300,2648.66,2648.66,2645.39,2646.61,1811940
XAUUSD,20250108,0400,2646.57,2648.53,2645.09,2646.85,1283670
XAUUSD,20250108,0500,2646.85,2650.58,2646.51,2649.89,1812750
XAUUSD,20250108,0600,2649.85,2652.84,2648.82,2652.03,1752770
XAUUSD,20250108,0700,2652.03,2654.26,2651.55,2652.45,1916940
