UTC,Open,High,Low,Close,Volume
03.07.2024 23:00:00.000 UTC,161.599,161.673,161.572,161.586,3205.75
04.07.2024 00:00:00.000 UTC,161.585,161.601,161.37,161.439,10424.01
04.07.2024 01:00:00.000 UTC,161.441,161.463,161.134,161.37,18957.77
04.07.2024 02:00:00.000 UTC,161.369,161.451,161.318,161.447,4416.12
04.07.2024 03:00:00.000 UTC,161.449,161.562,161.38,161.53,4822.35
04.07.2024 04:00:00.000 UTC,161.531,161.572,161.467,161.498,3090.46
04.07.2024 05:00:00.000 UTC,161.497,161.552,161.448,161.48,4242.28
04.07.2024 06:00:00.000 UTC,161.48,161.481,161.335,161.349,10234.49
04.07.2024 07:00:00.000 UTC,161.349,161.456,161.265,161.281,11107.43
04.07.2024 08:00:00.000 UTC,161.281,161.324,161.192,161.243,13496.73
04.07.2024 09:00:00.000 UTC,161.244,161.308,161.242,161.253,9357.95
04.07.2024 10:00:00.000 UTC,161.252,161.262,161.054,161.062,4365.61
04.07.2024 11:00:00.000 UTC,161.061,161.097,160.946,161.001,11207.5
04.07.2024 12:00:00.000 UTC,160.999,161.18,160.947,161.136,13970.4
04.07.2024 13:00:00.000 UTC,161.137,161.194,161.093,161.158,5161.92
04.07.2024 14:00:00.000 UTC,161.157,161.183,160.962,161.06,9649.35
04.07.2024 15:00:00.000 UTC,161.059,161.167,161.055,161.139,5770.76
04.07.2024 16:00:00.000 UTC,161.141,161.171,161.114,161.131,2625.95
04.07.2024 17:00:00.000 UTC,161.133,161.152,161.11,161.152,1843.05
04.07.2024 18:00:00.000 UTC,161.152,161.254,161.152,161.245,3453.78
04.07.2024 19:00:00.000 UTC,161.243,161.246,161.17,161.211,4283.94
04.07.2024 20:00:00.000 UTC,161.212,161.323,161.21,161.212,5475.93
04.07.2024 21:00:00.000 UTC,161.225,161.299,161.191,161.222,3222.05
04.07.2024 22:00:00.000 UTC,161.222,161.285,161.191,161.269,2874.76
04.07.2024 23:00:00.000 UTC,161.268,161.395,161.257,161.36,3639.51
05.07.2024 00:00:00.000 UTC,161.361,161.394,160.82,161.073,12222.88
05.07.2024 01:00:00.000 UTC,161.073,161.143,160.878,161.014,13848.31
05.07.2024 02:00:00.000 UTC,161.015,161.065,160.927,160.961,8528.52
05.07.2024 03:00:00.000 UTC,160.964,160.984,160.53,160.614,11896.73
05.07.2024 04:00:00.000 UTC,160.613,160.672,160.53,160.643,5743
05.07.2024 05:00:00.000 UTC,160.643,160.783,160.641,160.679,5719.68
05.07.2024 06:00:00.000 UTC,160.677,160.802,160.57,160.769,8655.71
05.07.2024 07:00:00.000 UTC,160.77,160.852,160.651,160.771,14053.43
05.07.2024 08:00:00.000 UTC,160.77,160.823,160.632,160.737,11238.23
05.07.2024 09:00:00.000 UTC,160.734,160.766,160.613,160.697,7955.48
05.07.2024 10:00:00.000 UTC,160.698,160.832,160.651,160.801,5711.03
05.07.2024 11:00:00.000 UTC,160.803,160.88,160.771,160.82,7450.95
05.07.2024 12:00:00.000 UTC,160.819,161.159,160.33,160.942,32865.34
05.07.2024 13:00:00.000 UTC,160.941,161.326,160.78,161.264,31896.93
05.07.2024 14:00:00.000 UTC,161.264,161.329,160.896,160.962,21550.12
05.07.2024 15:00:00.000 UTC,160.961,161.019,160.629,160.731,18493.01
05.07.2024 16:00:00.000 UTC,160.73,160.948,160.706,160.885,11238.31
05.07.2024 17:00:00.000 UTC,160.883,160.91,160.81,160.848,8909.79
05.07.2024 18:00:00.000 UTC,160.849,160.849,160.708,160.719,10876.74
05.07.2024 19:00:00.000 UTC,160.719,160.773,160.708,160.766,6967.26
05.07.2024 20:00:00.000 UTC,160.766,160.837,160.715,160.719,3867.6
07.07.2024 21:00:00.000 UTC,160.721,160.819,160.67,160.745,805.2
07.07.2024 22:00:00.000 UTC,160.757,160.773,160.661,160.767,5195.29
07.07.2024 23:00:00.000 UTC,160.767,160.813,160.575,160.638,8728.2
08.07.2024 00:00:00.000 UTC,160.637,160.73,160.561,160.61,19707.52
08.07.2024 01:00:00.000 UTC,160.61,160.714,160.39,160.41,18627.57
08.07.2024 02:00:00.000 UTC,160.411,160.48,160.26,160.369,16301.85
08.07.2024 03:00:00.000 UTC,160.371,160.553,160.354,160.486,9996.53
08.07.2024 04:00:00.000 UTC,160.486,160.579,160.472,160.538,8365.75
08.07.2024 05:00:00.000 UTC,160.539,160.698,160.528,160.696,9977.02
08.07.2024 06:00:00.000 UTC,160.696,160.865,160.539,160.835,20463.1
08.07.2024 07:00:00.000 UTC,160.834,160.956,160.781,160.897,22828.44
08.07.2024 08:00:00.000 UTC,160.899,161.117,160.886,161.091,11150.08
08.07.2024 09:00:00.000 UTC,161.092,161.101,161.003,161.037,13180.68
08.07.2024 10:00:00.000 UTC,161.036,161.037,160.919,160.934,10822.98
08.07.2024 11:00:00.000 UTC,160.935,161.056,160.868,161.012,10457.1
08.07.2024 12:00:00.000 UTC,161.011,161.02,160.663,160.689,24057.04
08.07.2024 13:00:00.000 UTC,160.691,160.811,160.587,160.657,27486
08.07.2024 14:00:00.000 UTC,160.655,160.659,160.474,160.615,17677.12
