<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260105,1200,4419.06,4421.23,4405.27,4409.45,2189620
XAUUSD,20260105,1300,4409.48,4418.77,4396.05,4416.64,2983290
XAUUSD,20260105,1400,4416.69,4442.57,4416.69,4436.00,3552200
XAUUSD,20260105,1500,4436.00,4455.43,4435.35,4448.27,3455010
XAUUSD,20260105,1600,4448.26,4454.13,4438.13,4441.53,2194560
XAUUSD,20260105,1700,4441.81,4448.85,4432.10,4443.32,2225870
XAUUSD,20260105,1800,4443.30,4448.35,4439.48,4448.35,1602660
XAUUSD,20260105,1900,4448.35,4449.07,4434.59,4439.48,1668080
XAUUSD,20260105,2000,4439.45,4446.72,4437.73,4444.56,1747490
XAUUSD,20260105,2100,4444.55,4449.16,4443.06,4448.35,1628290
XAUUSD,20260105,2300,4446.61,4459.81,4436.56,4440.28,892920
XAUUSD,20260106,0000,4440.28,4444.55,4429.99,4436.28,1221020
XAUUSD,20260106,0100,4436.32,4452.15,4427.73,4450.32,2889120
XAUUSD,20260106,0200,4450.47,4461.13,4448.40,4454.69,2801640
XAUUSD,20260106,0300,4454.69,4467.89,4453.88,4467.31,2001130
XAUUSD,20260106,0400,4467.30,4468.27,4461.48,4467.20,2485960
XAUUSD,20260106,0500,4467.18,4473.91,4449.20,4451.73,3345040
XAUUSD,20260106,0600,4452.11,4466.65,4451.20,4465.60,2171650
XAUUSD,20260106,0700,4465.56,4470.03,4456.69,4459.13,1476640
XAUUSD,20260106,0800,4459.10,4475.48,4456.98,4467.95,3005470
XAUUSD,20260106,0900,4467.95,4468.19,4444.50,4446.06,5003310
XAUUSD,20260106,1000,4446.09,4455.55,4442.10,4451.45,2587500
XAUUSD,20260106,1100,4451.43,4464.20,4448.28,4462.95,2732830
XAUUSD,20260106,1200,4463.05,4466.06,4458.48,4463.36,3773200
XAUUSD,20260106,1300,4463.35,4470.18,4453.53,4467.69,4930010
XAUUSD,20260106,1400,4467.73,4489.45,4464.16,4487.43,4608930
XAUUSD,20260106,1500,4487.26,4490.61,4462.95,4478.02,5552290
XAUUSD,20260106,1600,4477.98,4488.57,4471.18,4487.91,3416500
XAUUSD,20260106,1700,4487.94,4491.25,4481.35,4489.15,2610610
XAUUSD,20260106,1800,4489.10,4493.77,4481.73,4488.22,4199060
XAUUSD,20260106,1900,4488.24,4489.16,4477.19,4481.19,3945120
XAUUSD,20260106,2000,4481.15,4496.50,4480.14,4493.45,3771500
XAUUSD,20260106,2100,4493.45,4497.05,4491.55,4493.19,1042530
XAUUSD,20260106,2300,4494.30,4500.35,4491.94,4493.23,839620
XAUUSD,20260107,0000,4493.19,4494.48,4482.00,4491.73,1414140
XAUUSD,20260107,0100,4491.69,4495.60,4460.63,4465.27,3824020
XAUUSD,20260107,0200,4465.26,4478.40,4459.31,4474.26,3089070
XAUUSD,20260107,0300,4474.31,4479.97,4471.36,4474.51,1867080
XAUUSD,20260107,0400,4474.52,4475.76,4463.16,4464.52,1736740
XAUUSD,20260107,0500,4464.49,4470.15,4442.94,4453.98,2488254
XAUUSD,20260107,0600,4453.98,4460.10,4441.25,4443.80,2496400
XAUUSD,20260107,0700,4443.80,4464.63,4441.38,4460.94,1672610
XAUUSD,20260107,0800,4460.78,4474.65,4459.09,4468.07,1479580
XAUUSD,20260107,0900,4467.90,4468.41,4459.22,4463.22,2741780
XAUUSD,20260107,1000,4463.16,4467.48,4458.49,4464.10,2273070
XAUUSD,20260107,1100,4464.06,4464.74,4446.26,4447.14,1803460
XAUUSD,20260107,1200,4447.51,4454.81,4439.14,4444.69,2711730
XAUUSD,20260107,1300,4444.61,4452.90,4427.51,4452.65,3621410
XAUUSD,20260107,1400,4452.65,4454.10,4435.48,4444.55,3294800
XAUUSD,20260107,1500,4444.55,4452.06,4423.14,4445.90,3531380
XAUUSD,20260107,1600,4445.85,4468.07,4443.61,4463.86,4532510
XAUUSD,20260107,1700,4463.88,4465.10,4449.45,4451.73,3346870
XAUUSD,20260107,1800,4451.69,4458.65,4446.81,4451.84,2287080
XAUUSD,20260107,1900,4451.86,4457.91,4445.10,4456.88,2168220
XAUUSD,20260107,2000,4456.84,4461.36,4450.32,4451.81,3330820
XAUUSD,20260107,2100,4452.07,4456.51,4449.69,4455.64,609490
XAUUSD,20260107,2300,4457.50,4463.73,4456.90,4463.20,642620
XAUUSD,20260108,0000,4463.15,4466.07,4446.40,4449.81,2244150
XAUUSD,20260108,0100,4449.84,4460.02,4441.68,4448.06,3148040
XAUUSD,20260108,0200,4448.06,4449.20,4433.27,4440.98,2975310
XAUUSD,20260108,0300,4440.97,4446.19,4437.01,4439.93,2713240
XAUUSD,20260108,0400,4439.93,4440.26,4429.84,4431.27,2364780
XAUUSD,20260108,0500,4431.23,4432.10,4415.22,4425.40,2963040
XAUUSD,20260108,0600,4425.38,4437.35,4415.41,4433.02,3052150
XAUUSD,20260108,0700,4432.99,4439.45,4428.01,4430.74,1844370
XAUUSD,20260108,0800,4430.73,4433.18,4419.44,4431.44,2336560
XAUUSD,20260108,0900,4431.24,4435.15,4425.82,4432.40,1450440
XAUUSD,20260108,1000,4432.43,4434.61,4422.76,4433.05,1453250
XAUUSD,20260108,1100,4433.05,4433.05,4421.89,4422.68,1439910
XAUUSD,20260108,1200,4422.73,4431.06,4407.48,4427.41,2180240
XAUUSD,20260108,1300,4427.38,4435.60,4417.10,4423.52,6509660
XAUUSD,20260108,1400,4423.57,4439.19,4418.91,4432.76,3243390
XAUUSD,20260108,1500,4432.73,4456.31,4427.61,4454.02,3329800
XAUUSD,20260108,1600,4454.03,4464.26,4446.69,4462.94,2977040
XAUUSD,20260108,1700,4462.94,4465.16,4457.27,4463.16,1856190
XAUUSD,20260108,1800,4463.18,4463.18,4447.68,4449.23,2376130
XAUUSD,20260108,1900,4449.21,4452.77,4444.56,4451.90,1787260
XAUUSD,20260108,2000,4451.88,4477.90,4451.28,4475.93,2402390
XAUUSD,20260108,2100,4475.84,4479.40,4472.40,4477.56,956510
XAUUSD,20260108,2300,4478.70,4483.55,4472.52,4475.48,739950
XAUUSD,20260109,0000,4475.44,4476.68,4459.52,4462.22,1668070
XAUUSD,20260109,0100,4462.24,4469.81,4452.59,4468.74,3004150
