time,open,high,low,close,volume
01.09.2024 21:00:00.000 UTC,145.971,146.158,145.931,146.048,525.25
01.09.2024 22:00:00.000 UTC,146.081,146.445,146.081,146.443,4453.98
01.09.2024 23:00:00.000 UTC,146.443,146.597,146.36,146.4,11243.7
02.09.2024 00:00:00.000 UTC,146.401,146.544,146.157,146.189,17899.21
02.09.2024 01:00:00.000 UTC,146.188,146.279,146.055,146.215,18072.07
02.09.2024 02:00:00.000 UTC,146.214,146.254,145.9,145.968,17593.75
02.09.2024 03:00:00.000 UTC,145.967,146.009,145.828,145.948,13124.89
02.09.2024 04:00:00.000 UTC,145.948,145.949,145.773,145.934,11731.76
02.09.2024 05:00:00.000 UTC,145.933,146.214,145.928,146.106,8511.43
02.09.2024 06:00:00.000 UTC,146.105,146.293,146.063,146.159,15692.85
02.09.2024 07:00:00.000 UTC,146.156,146.475,146.122,146.471,32274.33
02.09.2024 08:00:00.000 UTC,146.471,146.843,146.432,146.703,40977.85
02.09.2024 09:00:00.000 UTC,146.701,146.745,146.597,146.679,23916.12
02.09.2024 10:00:00.000 UTC,146.68,146.807,146.623,146.805,14502.36
02.09.2024 11:00:00.000 UTC,146.805,146.99,146.747,146.986,16508.9
02.09.2024 12:00:00.000 UTC,146.986,146.988,146.912,146.98,14742.54
02.09.2024 13:00:00.000 UTC,146.977,147.172,146.834,146.96,15740.71
02.09.2024 14:00:00.000 UTC,146.963,147.017,146.916,146.962,16402.28
02.09.2024 15:00:00.000 UTC,146.961,147.067,146.905,146.95,11066.99
02.09.2024 16:00:00.000 UTC,146.95,146.985,146.803,146.816,7008.83
02.09.2024 17:00:00.000 UTC,146.826,146.894,146.819,146.888,3803.85
02.09.2024 18:00:00.000 UTC,146.891,146.907,146.853,146.901,1766.49
02.09.2024 19:00:00.000 UTC,146.898,146.899,146.857,146.885,1078.29
02.09.2024 20:00:00.000 UTC,146.905,146.927,146.847,146.864,2427.34
02.09.2024 21:00:00.000 UTC,146.852,146.904,146.753,146.888,613.98
02.09.2024 22:00:00.000 UTC,146.885,146.961,146.843,146.948,1262.82
02.09.2024 23:00:00.000 UTC,146.946,146.963,146.713,146.748,3372.56
03.09.2024 00:00:00.000 UTC,146.751,147.207,146.664,147.124,27714.88
03.09.2024 01:00:00.000 UTC,147.121,147.144,146.587,146.616,21679.45
03.09.2024 02:00:00.000 UTC,146.615,146.763,146.566,146.638,20732.71
03.09.2024 03:00:00.000 UTC,146.638,146.731,146.446,146.54,14088.68
03.09.2024 04:00:00.000 UTC,146.542,146.573,146.393,146.535,19787.62
03.09.2024 05:00:00.000 UTC,146.534,146.594,146.14,146.309,18039.59
03.09.2024 06:00:00.000 UTC,146.311,146.405,145.992,146.016,28214.1
03.09.2024 07:00:00.000 UTC,146.017,146.243,145.888,145.945,47801.28
03.09.2024 08:00:00.000 UTC,145.945,146.014,145.606,145.813,48354.12
03.09.2024 09:00:00.000 UTC,145.809,145.984,145.79,145.934,24799.46
03.09.2024 10:00:00.000 UTC,145.933,146.062,145.864,146.032,21883.78
03.09.2024 11:00:00.000 UTC,146.031,146.237,145.892,146.174,23018.21
03.09.2024 12:00:00.000 UTC,146.176,146.286,145.872,145.882,32215.6
03.09.2024 13:00:00.000 UTC,145.882,145.922,145.28,145.421,49451.19
03.09.2024 14:00:00.000 UTC,145.421,145.674,145.097,145.565,59236.35
03.09.2024 15:00:00.000 UTC,145.565,145.917,145.565,145.821,37115.02
03.09.2024 16:00:00.000 UTC,145.825,145.921,145.71,145.765,17479.45
