time,open,high,low,close,volume
01.08.2024 00:00:00.000 UTC,149.786,149.895,149.345,149.436,30365.23
01.08.2024 01:00:00.000 UTC,149.435,149.465,148.508,149.17,48260.12
01.08.2024 02:00:00.000 UTC,149.17,149.788,149.034,149.764,36010.88
01.08.2024 03:00:00.000 UTC,149.766,149.791,149.388,149.56,29232.99
01.08.2024 04:00:00.000 UTC,149.562,149.714,149.339,149.68,22643.18
01.08.2024 05:00:00.000 UTC,149.679,150.045,149.613,149.759,29304.12
01.08.2024 06:00:00.000 UTC,149.76,150.335,149.569,150.027,55159.66
01.08.2024 07:00:00.000 UTC,150.026,150.195,149.782,149.861,48231.39
01.08.2024 08:00:00.000 UTC,149.859,149.988,149.426,149.69,54639.72
01.08.2024 09:00:00.000 UTC,149.698,149.967,149.605,149.949,38251.5
01.08.2024 10:00:00.000 UTC,149.95,150.195,149.918,150.027,32293.95
01.08.2024 11:00:00.000 UTC,150.029,150.621,149.97,150.523,28396.69
01.08.2024 12:00:00.000 UTC,150.523,150.861,150.188,150.858,54737.4
01.08.2024 13:00:00.000 UTC,150.86,150.89,150.391,150.521,45967.39
01.08.2024 14:00:00.000 UTC,150.522,150.522,149.831,150.046,59138.61
01.08.2024 15:00:00.000 UTC,150.046,150.216,149.869,150.06,34839.29
01.08.2024 16:00:00.000 UTC,150.063,150.135,149.681,149.894,28672.76
01.08.2024 17:00:00.000 UTC,149.895,149.942,149.645,149.746,23214.06
01.08.2024 18:00:00.000 UTC,149.745,149.767,149.531,149.553,32347.46
01.08.2024 19:00:00.000 UTC,149.551,149.841,149.47,149.771,22555.39
01.08.2024 20:00:00.000 UTC,149.771,149.783,149.282,149.356,7333.09
01.08.2024 21:00:00.000 UTC,149.355,149.36,149.264,149.295,3178.47
01.08.2024 22:00:00.000 UTC,149.295,149.443,148.991,149.311,14273.76
01.08.2024 23:00:00.000 UTC,149.31,149.311,148.872,149.208,27296.53
02.08.2024 00:00:00.000 UTC,149.205,149.417,148.935,149.38,44699.18
02.08.2024 01:00:00.000 UTC,149.379,149.772,149.354,149.499,41485.06
02.08.2024 02:00:00.000 UTC,149.498,149.68,149.231,149.569,29825.73
02.08.2024 03:00:00.000 UTC,149.573,149.644,149.374,149.491,19517.36
02.08.2024 04:00:00.000 UTC,149.49,149.579,149.25,149.259,21480.45
02.08.2024 05:00:00.000 UTC,149.257,149.37,148.887,148.944,28461.02
02.08.2024 06:00:00.000 UTC,148.939,149.29,148.804,148.853,48231.51
02.08.2024 07:00:00.000 UTC,148.85,149.221,148.623,149.208,38164.64
02.08.2024 08:00:00.000 UTC,149.21,149.321,148.832,149.071,28698.9
02.08.2024 09:00:00.000 UTC,149.07,149.092,148.82,148.882,16120.54
02.08.2024 10:00:00.000 UTC,148.882,148.955,148.73,148.796,20023.86
02.08.2024 11:00:00.000 UTC,148.796,149.122,148.789,149.008,25068.83
02.08.2024 12:00:00.000 UTC,149.009,149.113,147.015,147.44,51518.84
02.08.2024 13:00:00.000 UTC,147.443,148.16,147.058,147.076,79705.08
02.08.2024 14:00:00.000 UTC,147.077,147.414,146.542,146.671,76155.74
02.08.2024 15:00:00.000 UTC,146.668,147.104,146.417,146.979,58660.51
02.08.2024 16:00:00.000 UTC,146.981,147.458,146.752,146.844,46142.33
02.08.2024 17:00:00.000 UTC,146.844,146.956,146.748,146.836,40850.35
02.08.2024 18:00:00.000 UTC,146.837,146.896,146.436,146.491,20423.58
02.08.2024 19:00:00.000 UTC,146.492,146.69,146.444,146.582,17256.87
02.08.2024 20:00:00.000 UTC,146.584,146.619,146.489,146.498,7284
04.08.2024 21:00:00.000 UTC,146.441,146.504,146.413,146.44,828.9
04.08.2024 22:00:00.000 UTC,146.468,146.563,145.983,146.322,20120.29
04.08.2024 23:00:00.000 UTC,146.319,146.343,145.279,145.589,39785.95
05.08.2024 00:00:00.000 UTC,145.589,145.94,145.179,145.512,56135.48
05.08.2024 01:00:00.000 UTC,145.512,145.592,144.762,145.106,43756.73
05.08.2024 02:00:00.000 UTC,145.104,145.548,145.037,145.136,35611.46
05.08.2024 03:00:00.000 UTC,145.133,145.155,144.163,144.361,36631.85
05.08.2024 04:00:00.000 UTC,144.36,144.427,142.176,143.165,50687.54
05.08.2024 05:00:00.000 UTC,143.165,143.551,142.41,142.66,49147.74
05.08.2024 06:00:00.000 UTC,142.649,143.11,141.676,142.749,32752.59
05.08.2024 07:00:00.000 UTC,142.751,143.986,142.717,143.478,31341.29
05.08.2024 08:00:00.000 UTC,143.474,143.56,142.001,142.395,25386.57
05.08.2024 09:00:00.000 UTC,142.399,142.574,141.741,142.287,40291.24
05.08.2024 10:00:00.000 UTC,142.29,142.466,141.906,142.369,29774.93
05.08.2024 11:00:00.000 UTC,142.37,142.962,142.242,142.306,37463.48
05.08.2024 12:00:00.000 UTC,142.304,142.466,141.831,142.246,43732.35
05.08.2024 13:00:00.000 UTC,142.25,142.982,142.1,142.714,38152.19
05.08.2024 14:00:00.000 UTC,142.726,143.843,142.54,142.655,56979.24
05.08.2024 15:00:00.000 UTC,142.656,143.99,142.333,143.962,43297.1
05.08.2024 16:00:00.000 UTC,143.961,144.887,143.893,144.178,42353.74
05.08.2024 17:00:00.000 UTC,144.181,144.602,143.901,144.007,38715.1
05.08.2024 18:00:00.000 UTC,144.008,144.159,143.388,143.457,25041.81
05.08.2024 19:00:00.000 UTC,143.451,143.853,143.441,143.739,21013.82
05.08.2024 20:00:00.000 UTC,143.738,144.273,143.701,144.137,9230.46
05.08.2024 21:00:00.000 UTC,144.129,144.174,144.018,144.039,849.07
05.08.2024 22:00:00.000 UTC,144.036,144.863,143.619,144.762,15486.33
05.08.2024 23:00:00.000 UTC,144.762,145.826,144.758,145.794,34042.97
06.08.2024 00:00:00.000 UTC,145.8,146.365,144.837,145.04,46904.88
06.08.2024 01:00:00.000 UTC,145.042,145.485,144.363,144.8,28957.48
06.08.2024 02:00:00.000 UTC,144.8,145.352,144.302,145.307,26397.48
06.08.2024 03:00:00.000 UTC,145.307,145.912,145.116,145.35,22525.32
06.08.2024 04:00:00.000 UTC,145.348,145.639,145.101,145.511,18584.71
06.08.2024 05:00:00.000 UTC,145.521,146.14,145.104,145.862,24938
06.08.2024 06:00:00.000 UTC,145.862,146.285,145.428,145.631,40165.14
06.08.2024 07:00:00.000 UTC,145.631,145.931,145.173,145.291,42365.61
06.08.2024 08:00:00.000 UTC,145.289,145.376,144.466,144.918,31543.6
06.08.2024 09:00:00.000 UTC,144.917,144.917,144.495,144.745,21314.89
